date,session_number,n_subjects,time_window,active_mean,active_sem,inactive_mean,inactive_sem,reinforcers_mean,reinforcers_sem,di_mean,di_sem,subjects
2025-03-10,1,21,0-60min,17.238095238095237,3.173661992001886,6.095238095238095,1.2063790424762462,183.0,23.404943563699415,0.39947290825197174,0.07348451957606057,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-11,2,21,0-60min,16.333333333333332,2.0672737020856347,6.904761904761905,1.3297652289761273,207.9047619047619,40.813491209155835,0.3870870272399003,0.0699589657772542,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-12,3,21,0-60min,17.904761904761905,3.0475481851172046,7.666666666666667,1.3133421964087366,171.52380952380952,30.937331069933922,0.39572523631251433,0.08225951267430821,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-13,4,21,0-60min,16.952380952380953,2.58679376789578,12.0,2.8658597187297294,204.28571428571428,44.177601924773796,0.305417532101302,0.09459501561603374,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-14,5,21,0-60min,24.952380952380953,3.354677372605068,11.857142857142858,1.790989939320432,184.8095238095238,26.302842853312885,0.33977408629318023,0.0709172019339946,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-17,6,21,0-60min,35.0,8.419284633595458,11.476190476190476,2.296224889255514,197.61904761904762,36.58751358761212,0.4392621328026332,0.07478885380588951,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-18,7,21,0-60min,30.19047619047619,4.541378938707823,12.333333333333334,1.7998908172143853,186.38095238095238,38.19762883918843,0.40052802674135063,0.08004554601499718,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-19,8,21,0-60min,26.666666666666668,3.5496691636798694,9.285714285714286,1.797129049765085,234.33333333333334,46.681112114741715,0.5182548269070597,0.06690856442624556,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-20,9,21,0-60min,20.476190476190474,2.5798970321865604,8.0,1.4800257398019099,305.3333333333333,90.97260641071011,0.4751781973230807,0.07038848773665891,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-21,10,21,0-60min,28.80952380952381,4.794469152713594,11.857142857142858,4.04805919975764,308.5238095238095,95.49333937066783,0.47375443831602465,0.0950161300632716,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
